MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
18311471,Sold,8/23/2021,5/25/2021,7/13/2021,221000,220000,112.94,212000,108.83,Sellers Disclosure,0,49,49,Emory Knoll,2327,Drive,Fresno,Texas,77545,4400,3,1948,2,Winfield Lakes Sec 3,,2004,3,2,1,2.1,38,FALSE,Detached Garage,1
16253489,Sold,3/26/2020,2/9/2020,2/21/2020,209900,214000,114.56,212300,113.65,"Mud, Sellers Disclosure",3800,12,12,Lansing Cove,1706,Drive,Fresno,Texas,77545,10726,6,1868,1,Cambridge Falls Sec 1,,2009,4,2,0,2,38,FALSE,Attached Garage,2
4138695,Sold,8/20/2020,6/30/2020,7/11/2020,212500,212500,112.2,212500,112.2,"Exclusions, Mud",1500,11,11,Caldbeck,2011,Lane,Fresno,Texas,77545,6138,7,1894,2,Cambridge Falls,,2008,3,2,0,2,38,FALSE,Attached Garage,2
75226507,Sold,4/14/2021,3/4/2021,3/15/2021,210000,210000,130.84,212850,132.62,"Mud, Sellers Disclosure",0,5,5,Acorn Glen,1903,Trail,Fresno,Texas,77545,6014,3,1605,1,Winfield Lakes Sec 11,,2012,3,2,0,2,38,FALSE,,
64075914,Sold,9/28/2020,7/20/2020,8/25/2020,211900,209900,118.39,214900,121.21,Sellers Disclosure,3500,15,15,Hunters Side,2503,Trail,Fresno,Texas,77545,9110,6,1773,1,Winfield Lakes North Sec 2,,2017,3,2,0,2,38,FALSE,Attached Garage,2
8808615,Sold,9/1/2020,11/12/2019,3/24/2020,213990,214990,151.83,214990,151.83,Mud,0,133,169,Fawn Mountain,2711,Drive,Fresno,Texas,77545,,9,1416,1,Winfield Lakes,,2019,3,2,0,2,38,FALSE,Attached Garage,2
25003245,Sold,11/10/2020,9/19/2020,10/6/2020,229999,229999,139.39,215000,130.3,"HOA First Right of Refusal, No Disclosures",0,17,17,Oakleaf Ash,2554,Lane,Fresno,Texas,77545,4950,3,1650,1,Winfield Lakes North Sec 3,,2018,3,2,0,2,38,FALSE,Attached Garage,2
36469877,Sold,6/30/2020,4/16/2020,5/22/2020,215000,215000,126.4,215000,126.4,Sellers Disclosure,2750,36,36,Manchester Crossing,2322,Drive,Fresno,Texas,77545,5963,6,1701,1,CAMBRIDGE FALLS,,2017,3,2,0,2,38,FALSE,Attached Garage,2
323231,Sold,10/4/2019,7/13/2019,8/15/2019,215000,215000,116.15,215000,116.15,Sellers Disclosure,0,33,33,Emily Vista,3023,Lane,Fresno,Texas,77545,8515,7,1851,1,Cambridge Falls Sec 4,,2014,3,2,0,2,38,FALSE,Attached Garage,2
35538127,Sold,9/3/2019,4/11/2019,7/11/2019,226865,223865,126.05,217370,122.39,Mud,0,91,91,Bright Sunrise,2311,Trail,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2019,3,2,0,2,38,FALSE,Attached Garage,2
58910207,Sold,1/15/2020,11/20/2019,12/15/2019,219900,219900,103.53,217702,102.5,Sellers Disclosure,0,25,25,Dark Elm,2422,Drive,Fresno,Texas,77545,5555,10,2124,1,Winfield Lakes Sec 14,,2014,4,2,0,2,38,FALSE,Attached Garage,2
71494026,Sold,5/19/2021,11/13/2020,12/14/2020,218000,218000,127.93,218000,127.93,"Mud, Sellers Disclosure, Short Sale",4000,31,55,Bergen Bay,2719,Lane,Fresno,Texas,77545,5400,3,1704,1,Cambridge Falls Sec 10,,2018,3,2,0,2,38,FALSE,,
57663138,Sold,10/1/2020,7/27/2020,7/27/2020,218433,218433,122.78,218433,122.78,Mud,0,0,0,Rose Embers,2726,Court,Fresno,Texas,77545,,10,1779,1,Winfield Lakes,,2020,4,2,0,2,38,FALSE,Attached Garage,2
62476604,Sold,12/1/2020,7/2/2020,7/20/2020,234895,234895,143.58,219445,134.14,Mud,0,18,18,Rose Embers,2702,Court,Fresno,Texas,77545,,9,1636,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
85021422,Sold,6/8/2021,5/6/2021,5/11/2021,210000,210000,136.99,220000,143.51,"Mud, Sellers Disclosure",0,5,5,Manchester Crossing,1907,Drive,Fresno,Texas,77545,5672,7,1533,1,Cambridge Falls Sec 2,,2010,3,2,0,2,38,FALSE,Attached Garage,
98803777,Sold,7/30/2020,4/30/2020,6/23/2020,234995,226000,132.86,220000,129.34,Sellers Disclosure,0,54,54,Vales Point,2906,Drive,Fresno,Texas,77545,5713,9,1701,1,Cambridge Falls,,2018,3,2,0,2,38,FALSE,Attached Garage,2
96450781,Sold,5/18/2020,3/7/2020,4/16/2020,229900,229900,111.66,220000,106.85,Owner/Agent,0,40,40,Danbury Chase,3423,Trail,Fresno,Texas,77545,10472,9,2059,1,Cambridge Falls Sec 1,,2007,4,2,0,2,38,FALSE,Attached Garage,2
98814402,Sold,2/14/2020,1/29/2020,2/11/2020,234000,234000,116.24,220000,109.29,"Mud, Sellers Disclosure",0,10,10,Ashlyn Arbor,3018,Drive,Fresno,Texas,77545,5829,9,2013,1,Cambridge Falls,,2017,4,2,0,2,38,FALSE,Attached Garage,2
46594245,Sold,7/1/2020,3/17/2020,5/18/2020,237290,237290,133.61,223830,126.03,Mud,0,62,62,Honey Heights,2502,Lane,Fresno,Texas,77545,,12,1776,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
96737038,Sold,12/18/2020,10/18/2020,10/25/2020,230000,230000,124.46,225000,121.75,Sellers Disclosure,0,7,7,Dark Elm,2411,Drive,Fresno,Texas,77545,5512,8,1848,1,Winfield Lakes,,2015,3,2,0,2,38,FALSE,Attached Garage,2
65528228,Sold,10/31/2019,9/9/2019,10/4/2019,226000,225000,105.93,225000,105.93,Sellers Disclosure,3000,25,25,Olive Pine,1830,Drive,Fresno,Texas,77545,10858,8,2124,1,Winfield Lakes Sec 14,,2014,4,2,0,2,38,FALSE,Attached Garage,2
58520204,Sold,3/25/2020,1/31/2020,2/15/2020,240000,240000,110.34,229100,105.33,"Mud, Sellers Disclosure",5525,15,15,Emily Vista,3015,Lane,Fresno,Texas,77545,7186,9,2175,1,Cambridge Falls Sec 4,,2014,4,2,0,2,38,FALSE,Attached Garage,2
72970398,Sold,2/12/2021,12/11/2020,12/30/2020,229900,229900,125.15,229900,125.15,"Mud, Sellers Disclosure",0,6,6,Bravos Manor,2035,Lane,Fresno,Texas,77545,5175,8,1837,1,Cambridge Falls Sec 10,,2018,4,2,2,2.2,38,FALSE,Attached Garage,2
70508916,Sold,10/3/2019,10/12/2018,5/27/2019,244640,229990,116.57,229990,116.57,Mud,0,227,227,Tannin,2214,Trace,Fresno,Texas,77545,,9,1973,1,Cambridge Falls,,2019,3,2,0,2,38,FALSE,Attached Garage,2
79502085,Sold,4/27/2021,3/19/2021,3/25/2021,245000,245000,133.81,230000,125.61,"Mud, Sellers Disclosure",1000,6,6,Bravos Manor Ln,1811,Lane,Fresno,Texas,77545,6158,7,1831,1,Cambridge Falls,,2015,4,2,0,2,38,FALSE,Attached Garage,2
